key,date,fromPerson,toPerson
1,1943-12-31,38,46
2,1942-12-24,65,15
3,,31,15
4,1943-10-31,70,15
5,1944-01-04,71,15
6,,51,15
7,1943-12-30,51,15
8,1943-10-28,68,15
9,1943-11-15,72,15
10,1943-12-22,21,15
11,,73,15
12,1944-01-04,39,15
13,1943-11-01,23,15
14,1943-10-12,25,15
15,1944-01-01,41,15
16,1943-12-11,22,15
17,1943-12-22,74,15
18,1943-11-22,10,15
19,1943-11-27,111,15
20,1943-12-02,14,15
21,1905-04-26,1,15
22,1905-04-26,1,15
23,1943-12-16,1,15
24,1943-12-22,1,15
25,1963-10-19,15,128
26,1962-06-15,15,22
27,1943-11-29,15,75
28,1944-01-01,75,15
29,,46,15
30,1944-05-17,46,15
31,1944-10-24,46,15
32,1943-12-26,47,15
33,1943-10-01,47,15
34,1944-04-26,47,15
35,,48,15
36,,48,15
37,1944-01-06,76,15
38,1943-11-04,49,15
39,1943-11-01,77,15
40,1943-11-07,53,15
41,1944-01-05,54,15
42,1943-10-18,78,15
43,1943-12-31,5,15
44,,6,15
45,1943-10-31,6,15
46,1944-09-26,129,15
47,1944-09-29,129,15
48,1944-05-02,129,15
49,1943-12-10,80,15
50,1943-11-11,81,15
51,1943-10-28,8,15
52,,82,15
53,1943-11-14,9,15
54,1943-11-23,2,15
55,1944-04-22,2,15
56,1944-04-05,2,15
57,1943-10-17,3,15
58,1943-11-11,4,15
60,1943-10-09,11,15
61,1943-10-09,12,15
62,1943-10-13,12,15
63,1943-11-13,12,15
64,1944-10-05,160,15
65,1944-11-23,83,15
66,,13,15
67,,13,15
68,1943-09-22,13,15
69,1943-09-27,13,15
70,1945-12-29,13,15
72,1943-11-08,84,15
73,1943-11-08,16,15
74,1943-10-13,85,15
75,1943-11-04,86,15
76,1943-12-06,87,15
77,1943-12-16,87,15
78,1944-01-05,87,15
79,1944-03-30,87,15
80,1944-04-27,87,15
81,1943-09-30,88,15
82,1943-12-29,89,15
83,1943-12-05,22,15
84,1944-01-09,22,15
85,1943-11-18,24,15
86,1943-10-19,90,15
87,,91,15
88,1943-12-06,26,15
89,1944-04-14,26,15
90,1944-06-08,26,15
91,1944-10-04,26,15
92,1944-10-02,92,15
93,1943-11-07,93,15
94,1943-11-14,93,15
95,1944-04-04,93,15
96,1944-05-07,93,15
97,1943-11-22,94,15
98,1943-10-21,29,15
99,1944-10-04,29,15
100,1943-11-08,30,15
101,1944-04-20,30,15
102,1943-11-18,95,15
103,1943-11-21,31,15
104,1944-03-23,96,15
105,1944-03-14,96,15
106,1944-10-29,97,15
107,1943-09-18,98,15
108,1943-11-15,32,15
109,,33,15
110,1943-12-31,34,15
111,1943-11-17,35,15
112,1943-11-06,99,15
113,1943-11-01,99,15
114,1943-12-05,37,15
115,1944-04-25,37,15
116,1944-03-29,37,15
117,1943-12-10,38,15
118,1943-10-13,100,15
119,,101,15
120,1944-04-14,40,15
121,1943-11-12,40,15
122,1943-11-15,42,15
123,1943-11-15,42,15
124,1943-11-10,102,15
125,1943-11-01,43,15
126,1944-04-10,43,15
127,1944-04-02,43,15
128,1944-03-20,43,15
129,1943-10-16,44,15
130,1943-11-04,103,15
131,1943-11-15,45,15
132,1943-12-06,39,15
133,1905-04-27,39,15
