key,letterKey,personKey
1,131,119
2,29,68
3,74,108
4,127,63
5,31,65
6,31,65
7,31,64
8,31,64
9,22,63
10,23,63
11,51,107
12,51,46
13,51,86
14,51,123
15,51,124
16,51,125
17,51,62
18,51,126
19,51,149
20,51,127
21,24,63
22,31,62
23,31,59
24,31,59
25,107,114
26,91,51
27,31,48
28,31,47
29,8,46
30,19,46
31,100,46
32,122,46
33,31,45
34,31,44
35,31,44
36,31,43
37,31,43
38,31,42
39,31,41
40,107,115
41,96,38
42,25,37
43,25,37
44,25,37
45,35,33
46,31,32
47,61,32
48,62,32
49,31,31
50,36,105
51,31,104
52,31,104
53,91,110
54,110,117
55,96,113
56,11,19
57,82,19
58,86,109
59,93,112
60,94,112
61,31,15
62,88,13
63,91,13
64,131,120
65,30,9
66,31,9
67,43,9
68,31,8
69,50,7
70,31,6
71,104,5
72,133,5
73,107,116
74,50,107
75,18,130
76,18,131
77,18,132
78,18,133
79,20,134
80,24,135
81,24,136
82,25,137
83,25,137
84,25,137
85,25,138
86,25,139
87,25,140
88,25,141
89,25,142
90,25,91
91,25,43
92,43,98
93,47,143
94,47,144
95,47,145
96,47,146
97,48,146
98,48,145
99,49,147
100,49,148
101,62,150
102,62,91
103,70,151
104,72,152
105,84,74
106,86,153
107,94,154
108,96,154
109,101,155
110,103,46
111,108,156
112,108,157
113,109,70
114,115,63
115,115,63
116,115,1
117,116,63
118,117,116
119,122,101
120,126,158
121,127,63
