Key_piece,Title,name_Contributor,name_key,pub_Type,pub_Subtype,Language,pub_Title,Date,Translator,
poem_1,I am thinking of France,"Ackland, Valentine",,publication,anthology,en,Poems For France,1944,NULL,
poem_2,Gabriel Péri,"Alington, C.A.",,publication,anthology,en,Poems For France,1944,NULL,
poem_3,Paris 1942,"Arundel, Honor",,publication,anthology,en,Poems For France,1944,NULL,
poem_4,Ballad of Toulon,"Arundel, Honor",,publication,anthology,en,Poems For France,1944,NULL,
poem_82,Communications cut,"Atthill, Robin",,publication,anthology,en,Poems For France,1944,NULL,
poem_5,Spring Offensive,"Beeching, Jack",,publication,anthology,en,Poems For France,1944,NULL,
poem_6,Memo,"Blakeston, Oswell",,publication,anthology,en,Poems For France,1944,NULL,
poem_7,"St. Valéry, May 1940","Bourne, David",,publication,anthology,en,Poems For France,1944,NULL,
poem_8,A Nest in France,"Bowen, Arnold",,publication,anthology,en,Poems For France,1944,NULL,
poem_9,Storm over France,F.J. Brown,,publication,anthology,en,Poems For France,1944,NULL,
poem_10,A French Poet speaks: 1940,"Bull, A.J.",,publication,anthology,en,Poems For France,1944,NULL,
poem_11,Before Daybreak,"Cawdor, WIlma",,publication,anthology,en,Poems For France,1944,NULL,
poem_12,A Curse,"Cawdor, WIlma",,publication,anthology,en,Poems For France,1944,NULL,
poem_13,Provence,"Cecil, Robert",,publication,anthology,en,Poems For France,1944,NULL,
poem_14,"France, 1940","Church, Richard",,publication,anthology,en,Poems For France,1944,NULL,
poem_15,France,"Comfort, Alex",,publication,anthology,en,Poems For France,1944,NULL,
poem_16,Bombers over France,"Craven, Mollie Charteris",,publication,anthology,en,Poems For France,1944,NULL,
poem_17,And Hate's Resistance,"Cunard, Nancy",,publication,anthology,en,Poems For France,1944,NULL,
poem_18,Requiem,"Davie, Ian",,publication,anthology,en,Poems For France,1944,NULL,
poem_19,Vichy,"Davies, Dudley G.",,publication,anthology,en,Poems For France,1944,NULL,
poem_20,The Refugees,"Dunsany, Lord",,publication,anthology,en,Poems For France,1944,NULL,
poem_21,The Marseillaise,"Dunsany, Lord",,publication,anthology,en,Poems For France,1944,NULL,
poem_22,The Phantom,"Dunsany, Lord",,publication,anthology,en,Poems For France,1944,NULL,
poem_23,Ballad for France,"Evans, D.",,publication,anthology,en,Poems For France,1944,NULL,
poem_24,Le Crêve-Cœur,"Gardiner, Patrick",,publication,anthology,en,Poems For France,1944,NULL,
poem_25,Thoughts in Tunisia,"Gawsworth, John",,publication,anthology,en,Poems For France,1944,NULL,
poem_26,Gabriel Péri,"Geering, Ken",,publication,anthology,en,Poems For France,1944,NULL,
poem_27,"Souvenir: Lac d'Annecy, August 1939","Gibson, Douglas",,publication,anthology,en,Poems For France,1944,NULL,
poem_28,Fernand Bonnier de la Chapelle,"Grant, V.C.",,publication,anthology,en,Poems For France,1944,NULL,
poem_29,Lament for France,"Greacen, Robert",,publication,anthology,en,Poems For France,1944,NULL,
poem_30,To the French fighting with us,"Hamilton, George Rostrevor",,publication,anthology,en,Poems For France,1944,NULL,
poem_31,From 'The Five Stars',"Hendry, J.F.",,publication,anthology,en,Poems For France,1944,NULL,
poem_32,Fleur de Lys,"Heppenstall, Rayner",,publication,anthology,en,Poems For France,1944,NULL,
