key,letterKey,poemKey,,,,,,,,,,,,,,,,,,,,,
1,1,44,,,,,,,,,,,,,,,,,,,,,
2,2,78,,,,,,,,,,,,,,,,,,,,,
3,2,79,,,,,,,,,,,,,,,,,,,,,
4,3,35,,,,,,,,,,,,,,,,,,,,,
5,4,82,,,,,,,,,,,,,,,,,,,,,
6,4,83,,,,,,,,,,,,,,,,,,,,,
7,5,66,,,,,,,,,,,,,,,,,,,,,
8,6,59,,,,,,,,,,,,,,,,,,,,,
9,7,59,,,,,,,,,,,,,,,,,,,,,
10,8,84,,,,,,,,,,,,,,,,,,,,,
11,9,64,,,,,,,,,,,,,,,,,,,,,
12,10,22,,,,,,,,,,,,,,,,,,,,,
13,11,20,,,,,,,,,,,,,,,,,,,,,
14,12,45,,,,,,,,,,,,,,,,,,,,,
15,13,88,,,,,,,,,,,,,,,,,,,,,
16,13,63,,,,,,,,,,,,,,,,,,,,,
17,14,28,,,,,,,,,,,,,,,,,,,,,
18,15,47,,,,,,,,,,,,,,,,,,,,,
19,16,23,,,,,,,,,,,,,,,,,,,,,
20,17,23,,,,,,,,,,,,,,,,,,,,,
21,18,7,,,,,,,,,,,,,,,,,,,,,
22,18,8,,,,,,,,,,,,,,,,,,,,,
23,19,60,,,,,,,,,,,,,,,,,,,,,
24,20,12,,,,,,,,,,,,,,,,,,,,,
25,21,85,,,,,,,,,,,,,,,,,,,,,
26,24,73,,,,,,,,,,,,,,,,,,,,,
27,22,85,,,,,,,,,,,,,,,,,,,,,
28,23,85,,,,,,,,,,,,,,,,,,,,,
29,24,85,,,,,,,,,,,,,,,,,,,,,
30,25,41,,,,,,,,,,,,,,,,,,,,,
31,25,49,,,,,,,,,,,,,,,,,,,,,
32,25,50,,,,,,,,,,,,,,,,,,,,,
33,26,23,,,,,,,,,,,,,,,,,,,,,
34,29,84,,,,,,,,,,,,,,,,,,,,,
35,29,54,,,,,,,,,,,,,,,,,,,,,
36,30,54,,,,,,,,,,,,,,,,,,,,,
37,31,72,,,,,,,,,,,,,,,,,,,,,
38,31,13,,,,,,,,,,,,,,,,,,,,,
39,31,49,,,,,,,,,,,,,,,,,,,,,
40,31,50,,,,,,,,,,,,,,,,,,,,,
41,31,72,,,,,,,,,,,,,,,,,,,,,
42,31,76,,,,,,,,,,,,,,,,,,,,,
43,31,77,,,,,,,,,,,,,,,,,,,,,
44,31,51,,,,,,,,,,,,,,,,,,,,,
45,31,52,,,,,,,,,,,,,,,,,,,,,
46,31,56,,,,,,,,,,,,,,,,,,,,,
47,31,48,,,,,,,,,,,,,,,,,,,,,
48,31,78,,,,,,,,,,,,,,,,,,,,,
49,31,79,,,,,,,,,,,,,,,,,,,,,
50,31,68,,,,,,,,,,,,,,,,,,,,,
51,31,69,,,,,,,,,,,,,,,,,,,,,
52,31,35,,,,,,,,,,,,,,,,,,,,,
53,31,6,,,,,,,,,,,,,,,,,,,,,
54,31,5,,,,,,,,,,,,,,,,,,,,,
55,31,55,,,,,,,,,,,,,,,,,,,,,
56,31,53,,,,,,,,,,,,,,,,,,,,,
57,31,36,,,,,,,,,,,,,,,,,,,,,
58,31,47,,,,,,,,,,,,,,,,,,,,,
59,31,82,,,,,,,,,,,,,,,,,,,,,
60,31,83,,,,,,,,,,,,,,,,,,,,,
61,32,55,,,,,,,,,,,,,,,,,,,,,
62,33,55,,,,,,,,,,,,,,,,,,,,,
63,35,37,,,,,,,,,,,,,,,,,,,,,
64,38,57,,,,,,,,,,,,,,,,,,,,,
65,41,63,,,,,,,,,,,,,,,,,,,,,
66,43,2,,,,,,,,,,,,,,,,,,,,,
67,44,3,,,,,,,,,,,,,,,,,,,,,
68,45,3,,,,,,,,,,,,,,,,,,,,,
69,50,4,,,,,,,,,,,,,,,,,,,,,
70,51,5,,,,,,,,,,,,,,,,,,,,,
71,52,21,,,,,,,,,,,,,,,,,,,,,
72,53,6,,,,,,,,,,,,,,,,,,,,,
73,54,26,,,,,,,,,,,,,,,,,,,,,
74,55,26,,,,,,,,,,,,,,,,,,,,,
75,56,26,,,,,,,,,,,,,,,,,,,,,
76,57,86,,,,,,,,,,,,,,,,,,,,,
77,57,87,,,,,,,,,,,,,,,,,,,,,
78,58,1,,,,,,,,,,,,,,,,,,,,,
79,59,7,,,,,,,,,,,,,,,,,,,,,
80,59,8,,,,,,,,,,,,,,,,,,,,,
81,60,9,,,,,,,,,,,,,,,,,,,,,
82,61,10,,,,,,,,,,,,,,,,,,,,,
83,61,36,,,,,,,,,,,,,,,,,,,,,
84,62,36,,,,,,,,,,,,,,,,,,,,,
85,63,36,,,,,,,,,,,,,,,,,,,,,
86,66,11,,,,,,,,,,,,,,,,,,,,,
87,67,11,,,,,,,,,,,,,,,,,,,,,
88,68,11,,,,,,,,,,,,,,,,,,,,,
89,69,11,,,,,,,,,,,,,,,,,,,,,
90,70,11,,,,,,,,,,,,,,,,,,,,,
91,71,12,,,,,,,,,,,,,,,,,,,,,
92,72,16,,,,,,,,,,,,,,,,,,,,,
93,73,14,,,,,,,,,,,,,,,,,,,,,
