key,letterKey,publicationKey,,,
1,2,3,,,
2,18,1,,,
3,18,32,,,
4,21,2,,,
5,22,33,,,
6,23,1,,,
7,24,34,,,
8,25,36,,,
9,25,37,,,
10,25,35,,,
11,25,1,,,
12,26,1,,,
13,26,38,,,
14,26,38,,,
15,27,1,,,
16,32,1,,,
17,33,1,,,
18,33,25,,,
19,33,39,,,
20,35,1,,,
21,37,40,,,
22,38,1,,,
23,40,1,,,
24,40,41,,,
25,43,41,,,
26,43,1,,,
27,45,1,,,
28,46,1,,,
29,47,1,,,
30,47,1,,,
31,47,42,,,
32,48,1,,,
33,48,38,,,
34,49,1,,,
35,50,8,,,
36,51,1,,,
37,51,43,,,
38,51,8,,,
39,51,44,,,
40,51,45,,,
41,53,46,,,
42,53,47,,,
43,57,48,,,
44,58,1,,,
45,58,49,,,
46,58,7,,,
47,61,10,,,
48,61,17,,,
49,61,29,,,
50,61,1,,,
51,62,29,,,
52,62,1,,,
53,62,50,,,
54,64,1,,,
55,65,1,,,
56,67,1,,,
57,67,51,,,
58,68,1,,,
59,70,1,,,
60,72,49,,,
61,72,14,,,
62,72,52,,,
63,83,53,,,
64,84,53,,,
65,86,54,,,
66,86,55,,,
67,88,1,,,
68,89,1,,,
69,90,1,,,
70,92,1,,,
71,93,1,,,
72,93,49,,,
73,93,15,,,
74,97,1,,,
75,99,1,,,
76,100,58,,,
77,101,57,,,
78,101,1,,,
79,102,1,,,
80,102,59,,,
81,103,1,,,
82,103,16,,,
83,105,1,,,
84,106,1,,,
85,108,1,,,
86,108,29,,,
87,108,29,,,
88,111,60,,,
89,111,49,,,
90,114,1,,,
91,115,5,,,
92,116,5,,,
93,117,1,,,
94,118,1,,,
95,121,1,,,
96,122,1,,,
97,122,61,,,
98,125,62,,,
99,125,12,,,
100,125,12,,,
101,125,64,,,
102,125,20,,,
103,128,20,,,
104,128,63,,,
105,129,23,,,
106,130,65,,,
107,131,1,,,
108,133,5,,,
