key,title,authorLastName,authorFirstName,,,,,,,,,,,,,,,,,,,,,,,,,
1,Communications cut,Atthill, Robin,,,,,,,,,,,,,,,,,,,,,,,,,
2,Spring Offensive,Beeching, Jack,,,,,,,,,,,,,,,,,,,,,,,,,
3,Memo,Blakeston, Oswell,,,,,,,,,,,,,,,,,,,,,,,,,
4,"St. Valéry, May 1940",Bourne, David,,,,,,,,,,,,,,,,,,,,,,,,,
5,A Nest in France,Bowen, Arnold,,,,,,,,,,,,,,,,,,,,,,,,,
6,A French Poet speaks: 1940,Bull, A.J.,,,,,,,,,,,,,,,,,,,,,,,,,
7,Before Daybreak,Cawdor, WIlma,,,,,,,,,,,,,,,,,,,,,,,,,
8,A Curse,Cawdor, WIlma,,,,,,,,,,,,,,,,,,,,,,,,,
9,Provence,Cecil, Robert,,,,,,,,,,,,,,,,,,,,,,,,,
10,"France, 1940",Church, Richard,,,,,,,,,,,,,,,,,,,,,,,,,
11,France,Comfort, Alex,,,,,,,,,,,,,,,,,,,,,,,,,
12,Bombers over France,Craven, Mollie Charteris,,,,,,,,,,,,,,,,,,,,,,,,,
13,And Hate's Resistance,Cunard, Nancy,,,,,,,,,,,,,,,,,,,,,,,,,
14,Requiem,Davie, Ian,,,,,,,,,,,,,,,,,,,,,,,,,
15,[no title],Davie, Ian,,,,,,,,,,,,,,,,,,,,,,,,,
16,Vichy,Davies, Dudley G.,,,,,,,,,,,,,,,,,,,,,,,,,
17,The Refugees,Dunsany, Lord,,,,,,,,,,,,,,,,,,,,,,,,,
18,The Marseillaise,Dunsany, Lord,,,,,,,,,,,,,,,,,,,,,,,,,
19,The Phantom,Dunsany, Lord,,,,,,,,,,,,,,,,,,,,,,,,,
20,Ballad for France,Evans,D.,,,,,,,,,,,,,,,,,,,,,,,,,
21,Storm over France,Brown,F.J. ,,,,,,,,,,,,,,,,,,,,,,,,,
22,Le Crêve-Cœur,Gardiner, Patrick,,,,,,,,,,,,,,,,,,,,,,,,,
23,Thoughts in Tunisia,Gawsworth, John,,,,,,,,,,,,,,,,,,,,,,,,,
24,Quai de Falaise,Gawsworth, John,,,,,,,,,,,,,,,,,,,,,,,,,
25,The Moat,Gawsworth, John,,,,,,,,,,,,,,,,,,,,,,,,,
26,Gabriel Péri,Alington, C.A.,,,,,,,,,,,,,,,,,,,,,,,,,
27,"Souvenir: Lac d'Annecy, August 1939",Gibson, Douglas,,,,,,,,,,,,,,,,,,,,,,,,,
28,Fernand Bonnier de la Chapelle,Grant, V.C.,,,,,,,,,,,,,,,,,,,,,,,,,
29,Lament for France,Greacen, Robert,,,,,,,,,,,,,,,,,,,,,,,,,
30,Lamentation pour la France,Greacen, Robert,,,,,,,,,,,,,,,,,,,,,,,,,
31,To the French fighting with us,Hamilton, George Rostrevor,,,,,,,,,,,,,,,,,,,,,,,,,
32,From 'The Five Stars',Hendry, J.F.,,,,,,,,,,,,,,,,,,,,,,,,,
33,Fleur de Lys,Heppenstall, Rayner,,,,,,,,,,,,,,,,,,,,,,,,,
34,O kimmer France,Hutcheson, William,,,,,,,,,,,,,,,,,,,,,,,,,
35,Pétain,Jackson, Ada,,,,,,,,,,,,,,,,,,,,,,,,,
36,Reflections,Lewis, Eiluned,,,,,,,,,,,,,,,,,,,,,,,,,
37,France 1936-1943,Lindsay, Jack,,,,,,,,,,,,,,,,,,,,,,,,,
38,Lovers of France,Lochhead, Marion,,,,,,,,,,,,,,,,,,,,,,,,,
39,In Paris—now,Lord, Douglas,,,,,,,,,,,,,,,,,,,,,,,,,
